Id,Id_Hote,Nom_Hote,Quartier,Latitude,Longitude,Type,Prix,Min_nuits,Dernier_avis,Avis_par_mois,Disponibilite
3279427,7424656,Alain,Passy,48.850256344491214,2.271563132198061,Entire_home/apt,195,6,2015-07-01,0.19,335
3608563,18111602,Djawad,Passy,48.84734831309787,2.2739213775390508,Entire_home/apt,85,1,,,77
5700115,29554873,Arfi,Passy,48.852862486058605,2.2749361355754503,Entire_home/apt,90,1,2015-07-08,0.52,365
5445067,9967566,Pierre,Passy,48.840530947015495,2.261303265109916,Private_room,50,1,,,165
554556,2726231,Clementine,Passy,48.85710725310517,2.2719410302498733,Entire_home/apt,85,3,2014-03-14,0.06,365
6163367,31974487,Sabine,Passy,48.86522686088459,2.2813338570059893,Entire_home/apt,250,7,,,103
4290340,22273766,Barbara,Passy,48.868962808688224,2.27553695490467,Entire_home/apt,78,15,,,329
5053054,1707712,Stephanie,Passy,48.86459539540385,2.273274595385358,Entire_home/apt,200,4,,,341
7658011,40194490,Pierre,Passy,48.86575662345714,2.28161443507039,Entire_home/apt,80,3,,,322
5728903,8551190,Kz,Passy,48.86590624512365,2.2789330659929705,Entire_home/apt,75,3,2015-08-20,1.39,207
6734829,22001367,Emmanuel,Passy,48.85460639790831,2.277140787794411,Entire_home/apt,108,1,2015-08-17,2.73,0
6309963,32824610,Christine,Passy,48.871288489908856,2.2964701779373544,Entire_home/apt,90,3,2015-07-13,2.16,57
7352112,3391611,Beatrice,Passy,48.841578816501176,2.2643111951093147,Private_room,90,2,,,365
7221888,22816384,Raphael,Passy,48.857301653816464,2.275559919995924,Entire_home/apt,80,2,2015-07-17,0.61,31
2741348,14026987,Luxe Apartment Trocadéro / Champs Elyséees,Passy,48.87008512166385,2.2843917014178974,Entire_home/apt,700,2,,,365
5699723,2892729,Allouche,Passy,48.86462189607725,2.2771837165181514,Entire_home/apt,100,2,2015-06-04,0.33,71
6943788,17583638,Erdin,Passy,48.86297042849208,2.2737648527155643,Entire_home/apt,98,10,,,47
1955635,10108258,Stanislas,Passy,48.856159098552816,2.267129904091816,Private_room,45,1,,,365
5865650,8841632,Charlotte,Passy,48.84722977281667,2.2686995327145585,Entire_home/apt,75,7,,,365
4852924,12984381,Olivier,Passy,48.86513103318132,2.2829703085443067,Entire_home/apt,209,3,2015-05-20,0.28,344
235292,1230993,Sabrina,Passy,48.84925291672489,2.2682087027718265,Entire_home/apt,60,1,2014-06-10,0.44,359
6081295,31565847,Laure,Passy,48.85552188087218,2.2674650686718265,Entire_home/apt,75,1,2015-07-14,1.61,364
4953539,25533439,Alexis,Passy,48.87364661125304,2.2913949037958856,Entire_home/apt,120,1,2015-07-04,0.87,352
682384,3476941,Chaillot Elysee Team,Passy,48.86738262445606,2.2972344282198534,Entire_home/apt,139,2,2015-01-25,0.17,359
4823099,22125984,Soukaina,Passy,48.860699553983046,2.284972335521066,Entire_home/apt,117,1,2015-08-23,1.84,245
200859,152242,Delphine,Passy,48.85128676189002,2.275885715068698,Entire_home/apt,225,6,,,358
2791650,14270108,Laura,Passy,48.85882078168978,2.2839360148392576,Entire_home/apt,55,2,2015-07-21,1.85,79
